Name,Ticker,Sector,ROCE %,Avg ROCE 5Yr %,Min ROCE 5Yr %,ROE %,Avg ROE 5Yr %,Min ROE 5Yr %,Sales growth 5Yr %,Profit growth 5Yr %,Debt to equity,Promoter holding %,Promoter holding 3Yr ago %,Pledged percentage %,PEG Ratio,PE,Avg PE 5Yr,Price to book,Avg ROCE 3Yr %,Avg ROE 3Yr %,Sales growth 3Yr %,Profit growth 3Yr %,Free cash flow last year,Dividend yield %,Return 1Yr %,Return 3Yr %,Return 5Yr %,Industry PE
Xcel Energy Inc.,XEL,Utilities,9.59,8.15,,9.59,8.15,,2.32,4.8,1.65,94.39,94.39,0.0,2.23,23.62,23.62,2.16,8.63,8.63,2.9,6.0,-7471625216.0,289.0,20.74,48.22,43.33,22.42
Corning Incorporated,GLW,Technology,16.74,14.23,,16.74,14.23,,16.0,111.12,0.8,81.91,81.91,0.0,1.54,94.16,94.16,15.11,15.07,15.07,20.0,138.9,612000000.0,57.0,275.7,506.5,453.97,37.83
ResMed Inc.,RMD,Healthcare,25.25,21.46,,25.25,21.46,,8.64,8.4,0.13,70.53,70.53,0.0,1.23,20.2,20.2,4.68,22.72,22.72,10.8,10.5,1446655104.0,114.0,-18.24,0.55,-11.64,26.17
Invitation Homes Inc.,INVH,Real Estate,6.19,5.26,,6.19,5.26,,7.36,-2.96,0.97,103.2,103.2,0.0,13.14,32.14,32.14,1.99,5.57,5.57,9.2,-3.7,1021075392.0,393.0,-5.51,0.23,-7.08,33.16
"Teradyne, Inc.",TER,Technology,28.75,24.44,,28.75,24.44,,69.6,251.84,0.03,96.38,96.38,0.0,1.46,68.48,68.48,18.38,25.87,25.87,87.0,314.8,298311264.0,14.0,307.43,246.81,197.59,37.83
"NIKE, Inc.",NKE,Consumer Cyclical,22.14,18.82,,22.14,18.82,,-0.88,342.64,0.74,83.66,83.66,0.0,1.54,21.0,21.0,4.4,19.92,19.92,-1.1,428.3,0.0,372.0,-42.39,-58.85,-70.35,25.44
"ServiceNow, Inc.",NOW,Technology,16.07,13.66,,16.07,13.66,,17.68,1.84,0.21,88.52,88.52,0.0,1.03,63.29,63.29,9.35,14.46,14.46,22.1,2.3,5108125184.0,0.0,-48.64,-3.11,-4.81,37.83
FedEx Corporation,FDX,Industrials,14.85,12.62,,14.85,12.62,,10.0,-3.68,1.36,88.95,88.95,0.0,1.23,16.72,16.72,2.38,13.36,13.36,12.5,-4.6,5534374912.0,156.0,65.23,66.21,45.54,32.32
The Procter & Gamble Company,PG,Consumer Defensive,31.11,26.45,,31.11,26.45,,5.92,4.64,0.68,71.84,71.84,0.0,4.25,22.14,22.14,6.56,28.0,28.0,7.4,5.8,12733750272.0,281.0,-5.66,9.12,26.46,23.56
The Hershey Company,HSY,Consumer Defensive,23.23,19.75,,23.23,19.75,,8.48,74.88,1.2,87.7,87.7,0.0,1.05,33.92,33.92,7.8,20.91,20.91,10.6,93.6,1527240576.0,319.0,3.75,-20.4,17.66,23.56
Colgate-Palmolive Company,CL,Consumer Defensive,363.58,309.04,,363.58,309.04,,6.72,-4.72,16.41,88.04,88.04,0.0,1.7,36.87,36.87,525.58,327.22,327.22,8.4,-5.9,3319500032.0,223.0,1.93,34.53,30.7,23.56
Halliburton Company,HAL,Energy,14.63,12.43,,14.63,12.43,,-0.24,106.8,0.75,89.83,89.83,0.0,0.86,18.21,18.21,2.55,13.16,13.16,-0.3,133.5,2027000064.0,206.0,57.78,8.33,63.08,18.21
Las Vegas Sands Corp.,LVS,Consumer Cyclical,90.45,76.89,,90.45,76.89,,20.24,58.4,9.81,93.94,93.94,0.0,0.95,17.34,17.34,26.0,81.41,81.41,25.3,73.0,1622625024.0,234.0,-2.79,-13.81,-3.44,25.44
ExxonMobil Holdings Corporation,XOM,Energy,9.87,8.39,,9.87,8.39,,2.08,-34.72,0.18,68.76,68.76,0.0,1.13,23.08,23.08,2.21,8.89,8.89,2.6,-43.4,11630499840.0,301.0,23.38,43.78,168.47,18.21
"Evergy, Inc.",EVRG,Utilities,8.87,7.54,,8.87,7.54,,4.0,14.8,1.56,94.97,94.97,0.0,2.45,23.44,23.44,2.0,7.98,7.98,5.0,18.5,-1101750016.0,315.0,27.17,73.06,74.18,22.42
Bio-Techne Corporation,TECH,Healthcare,11.18,9.5,,5.34,4.54,,-1.2,102.88,0.14,118.6,118.6,0.0,0.95,101.19,101.19,5.49,10.06,4.81,-1.5,128.6,299849376.0,45.0,37.43,-5.46,-36.39,26.17
"Domino's Pizza, Inc.",DPZ,Consumer Cyclical,48.73,41.42,,0.0,0.0,,2.8,-3.68,0.0,113.13,113.13,0.0,1.51,17.95,17.95,-2.67,43.86,0.0,3.5,-4.6,524712736.0,255.0,-31.23,0.28,-29.88,25.44
"United Rentals, Inc.",URI,Industrials,28.24,24.0,,28.24,24.0,,5.76,5.28,1.67,96.69,96.69,0.0,1.8,28.09,28.09,7.68,25.41,25.41,7.2,6.6,1870625024.0,72.0,40.14,162.7,265.8,32.32
American Express Company,AXP,BFSI,34.42,29.26,,34.42,29.26,,9.28,14.08,1.78,87.6,87.6,0.0,1.68,21.98,21.98,7.06,30.98,30.98,11.6,17.6,0.0,108.0,9.06,115.39,120.58,17.06
"Huntington Ingalls Industries, Inc.",HII,Industrials,12.2,10.37,,12.2,10.37,,10.72,0.0,0.57,93.64,93.64,0.0,1.07,18.94,18.94,2.23,10.98,10.98,13.4,0.0,634124992.0,189.0,14.98,40.82,57.87,32.32
Citigroup Inc.,C,BFSI,7.65,6.5,,7.65,6.5,,12.72,44.88,0.0,81.77,81.77,0.0,0.73,17.3,17.3,1.25,6.88,6.88,15.9,56.1,0.0,171.0,59.78,234.03,143.98,17.06
Crown Castle Inc.,CCI,Real Estate,6.07,5.16,,0.0,0.0,,-3.84,9.6,0.0,100.38,100.38,0.0,1.25,32.32,32.32,-17.39,5.46,0.0,-4.8,12.0,1202875008.0,555.0,-24.79,-20.6,-51.2,33.16
Veeva Systems Inc.,VEEV,Healthcare,13.93,11.84,,13.93,11.84,,13.04,11.68,0.01,98.17,98.17,0.0,0.87,34.11,34.11,4.3,12.54,12.54,16.3,14.6,1259549056.0,0.0,-31.41,-1.63,-39.87,26.17
FirstEnergy Corp.,FE,Utilities,9.46,8.04,,9.46,8.04,,9.28,10.32,1.99,96.57,96.57,0.0,1.73,26.37,26.37,2.22,8.51,8.51,11.6,12.9,-1835124992.0,383.0,21.81,43.47,57.97,22.42
Public Service Enterprise Group Incorporated,PEG,Utilities,13.44,11.42,,13.44,11.42,,15.52,20.32,1.41,78.51,78.51,0.0,4.07,18.06,18.06,2.35,12.1,12.1,19.4,25.4,-171750000.0,328.0,-0.81,46.51,59.92,22.42
"Revvity, Inc.",RVTY,Healthcare,3.41,2.89,,3.23,2.74,,5.6,2.8,0.47,106.18,106.18,0.0,0.72,54.69,54.69,1.77,3.06,2.9,7.0,3.5,508969248.0,25.0,15.25,-2.19,-26.22,26.17
"Tapestry, Inc.",TPR,Consumer Cyclical,60.91,51.78,,60.91,51.78,,16.96,58.96,5.75,98.52,98.52,0.0,0.3,44.1,44.1,42.75,54.82,54.82,21.2,73.7,1529737472.0,111.0,55.95,262.61,293.6,25.44
"Gilead Sciences, Inc.",GILD,Healthcare,43.36,36.86,,43.36,36.86,,3.52,43.84,0.95,92.27,92.27,0.0,2.14,17.86,17.86,6.93,39.02,39.02,4.4,54.8,7934125056.0,250.0,17.44,90.18,130.3,26.17
Hubbell Incorporated,HUBB,Industrials,25.82,21.95,,25.82,21.95,,8.88,10.0,0.72,99.81,99.81,0.0,2.36,28.82,28.82,6.83,23.24,23.24,11.1,12.5,541449984.0,117.0,17.42,57.36,187.19,32.32
Targa Resources Corp.,TRGP,Energy,74.1,62.98,,74.1,62.98,,-8.16,114.32,5.85,98.65,98.65,0.0,1.25,26.44,26.44,17.72,66.69,66.69,-10.2,142.9,-318550016.0,164.0,50.11,273.31,552.6,18.21
Thomson Reuters Corporation,TRI,Industrials,12.73,10.82,,12.73,10.82,,7.84,4.48,0.23,99.37,99.37,0.0,1.32,25.64,25.64,3.3,11.46,11.46,9.8,5.6,1677250048.0,294.0,-55.65,-29.42,-1.39,32.32
Mastercard Incorporated,MA,BFSI,232.08,197.26,,232.08,197.26,,12.64,16.96,2.82,91.52,91.52,0.0,1.66,31.25,31.25,71.2,208.87,208.87,15.8,21.2,16148124672.0,65.0,-4.55,44.38,47.64,17.06
Chevron Corporation,CVX,Energy,6.64,5.64,,6.64,5.64,,1.84,-35.6,0.24,75.2,75.2,0.0,0.68,29.48,29.48,1.82,5.97,5.97,2.3,-44.5,11776499712.0,421.0,14.79,23.93,99.76,18.21
Atmos Energy Corporation,ATO,Utilities,9.6,8.16,,9.6,8.16,,0.48,11.6,0.65,100.29,100.29,0.0,2.15,21.78,21.78,1.98,8.64,8.64,0.6,14.5,-2210371840.0,226.0,15.76,65.1,106.24,22.42
Paramount Skydance Corporation,PSKY,Communication Services,4.22,3.59,,-0.77,-0.65,,1.76,-25.44,1.3,34.46,34.46,0.0,1.31,346.33,346.33,0.99,3.8,-0.69,2.2,-31.8,16400374784.0,192.0,-17.08,-30.59,-72.7,25.32
"J.B. Hunt Transport Services, Inc.",JBHT,Industrials,16.68,14.17,,16.68,14.17,,3.68,21.92,0.44,98.9,98.9,0.0,2.78,44.45,44.45,7.5,15.01,15.01,4.6,27.4,829849984.0,63.0,91.11,64.56,83.62,32.32
"Altria Group, Inc.",MO,Consumer Defensive,41.41,35.2,,0.0,0.0,,4.24,85.04,0.0,63.53,63.53,0.0,1.66,15.18,15.18,-37.83,37.27,0.0,5.3,106.3,8542875136.0,583.0,20.68,105.36,129.29,23.56
KKR & Co. Inc.,KKR,BFSI,7.66,6.51,,7.66,6.51,,-5.28,9.6,0.69,85.14,85.14,0.0,0.5,31.92,31.92,2.99,6.9,6.9,-6.6,12.0,0.0,80.0,-30.77,71.91,63.34,17.06
Ralph Lauren Corporation,RL,Consumer Cyclical,34.66,29.46,,34.66,29.46,,13.28,16.0,1.06,110.37,110.37,0.0,2.29,26.39,26.39,8.42,31.2,31.2,16.6,20.0,656187520.0,94.0,39.33,243.71,282.35,25.44
Monster Beverage Corporation,MNST,Consumer Defensive,26.65,22.66,,26.65,22.66,,21.52,23.12,0.01,99.22,99.22,0.0,2.83,47.15,47.15,10.94,23.99,23.99,26.9,28.9,1684340480.0,0.0,55.29,70.78,115.43,23.56
"The Trade Desk, Inc.",TTD,Communication Services,16.74,14.22,,16.74,14.22,,9.44,-16.0,0.17,91.73,91.73,0.0,0.91,21.7,21.7,3.67,15.06,15.06,11.8,-20.0,569112640.0,0.0,-74.03,-75.59,-75.05,25.32
CVS Health Corporation,CVS,Healthcare,4.0,3.4,,3.75,3.19,,4.88,50.48,1.01,90.34,90.34,0.0,0.29,45.93,45.93,1.72,3.6,3.38,6.1,63.1,5201625088.0,254.0,57.05,72.67,52.25,26.17
CMS Energy Corporation,CMS,Utilities,10.37,8.82,,10.37,8.82,,9.28,7.12,1.9,100.99,100.99,0.0,3.0,21.53,21.53,2.6,9.33,9.33,11.6,8.9,-2161625088.0,293.0,11.63,46.25,51.61,22.42
"Fidelity National Information Services, Inc.",FIS,Technology,17.22,14.64,,17.22,14.64,,24.08,2432.48,1.32,99.12,99.12,0.0,0.23,8.1,8.1,1.35,15.5,15.5,30.1,3040.6,2446874880.0,402.0,-48.29,-14.8,-67.37,37.83
3M Company,MMM,Industrials,71.46,60.74,,71.46,60.74,,1.04,-31.76,3.96,77.55,77.55,0.0,1.7,30.97,30.97,25.65,64.31,64.31,1.3,-39.7,2322374912.0,194.0,5.66,113.62,16.49,32.32
CSX Corporation,CSX,Industrials,23.68,20.13,,23.68,20.13,,1.36,21.2,1.43,82.18,82.18,0.0,2.23,29.99,29.99,6.69,21.32,21.32,1.7,26.5,1129874944.0,115.0,47.93,51.92,61.48,32.32
"Align Technology, Inc.",ALGN,Healthcare,10.85,9.22,,10.82,9.2,,4.96,19.12,0.03,108.26,108.26,0.0,0.97,31.06,31.06,3.18,9.77,9.74,6.2,23.9,532954624.0,0.0,-4.8,-46.53,-69.48,26.17
"United Airlines Holdings, Inc.",UAL,Industrials,25.73,21.87,,25.73,21.87,,8.48,67.6,1.95,90.07,90.07,0.0,6.5,11.91,11.91,2.73,23.15,23.15,10.6,84.5,1647000064.0,0.0,64.37,136.8,159.18,32.32
S&P Global Inc.,SPGI,BFSI,13.94,11.85,,13.94,11.85,,8.32,26.0,0.38,91.08,91.08,0.0,1.55,27.86,27.86,4.18,12.55,12.55,10.4,32.5,5298874880.0,88.0,-12.3,21.68,16.64,17.06
Moody's Corporation,MCO,BFSI,71.36,60.66,,71.36,60.66,,6.48,6.24,2.36,95.25,95.25,0.0,2.23,35.21,35.21,28.62,64.22,64.22,8.1,7.8,2266125056.0,84.0,-2.36,47.16,38.27,17.06
International Flavors & Fragrances Inc.,IFF,Basic Materials,6.05,5.14,,6.05,5.14,,-2.88,9.6,0.46,104.25,104.25,0.0,0.9,25.95,25.95,1.52,5.45,5.45,-3.6,12.0,3702625024.0,191.0,11.77,17.58,-35.18,29.1
lululemon athletica inc.,LULU,Consumer Cyclical,32.03,27.22,,32.03,27.22,,3.44,-28.0,0.44,86.99,86.99,0.0,0.91,9.59,9.59,2.81,28.82,28.82,4.3,-35.0,1133960960.0,0.0,-50.15,-68.52,-68.11,25.44
"Stanley Black & Decker, Inc.",SWK,Industrials,4.99,4.24,,4.17,3.54,,2.16,-27.84,0.78,96.77,96.77,0.0,1.39,37.66,37.66,1.59,4.49,3.75,2.7,-34.8,842187520.0,361.0,32.61,12.53,-46.61,32.32
Regency Centers Corporation,REG,Real Estate,8.0,6.8,,8.0,6.8,,8.0,13.76,0.73,104.89,104.89,0.0,2.61,27.82,27.82,2.22,7.2,7.2,10.0,17.2,574623104.0,373.0,15.79,51.34,54.94,33.16
AppLovin Corporation,APP,Communication Services,266.44,226.48,,266.44,226.48,,47.2,90.48,1.63,88.88,88.88,0.0,1.45,45.87,45.87,74.99,239.8,239.8,59.0,113.1,3180097280.0,0.0,52.77,1950.02,674.4,25.32
"ONEOK, Inc.",OKE,Energy,15.9,13.52,,15.9,13.52,,15.68,14.4,1.5,83.56,83.56,0.0,2.12,15.66,15.66,2.48,14.31,14.31,19.6,18.0,454375008.0,487.0,9.55,69.35,104.89,18.21
Biogen Inc.,BIIB,Healthcare,8.93,7.59,,7.7,6.55,,1.52,24.88,0.35,96.47,96.47,0.0,4.55,23.26,23.26,1.71,8.04,6.93,1.9,31.1,1930925056.0,0.0,66.08,-23.91,-37.34,26.17
Valero Energy Corporation,VLO,Energy,15.85,13.47,,15.85,13.47,,5.28,9.6,0.43,88.3,88.3,0.0,4.08,19.57,19.57,3.33,14.27,14.27,6.6,12.0,4786625024.0,179.0,86.28,152.37,322.84,18.21
HP Inc.,HPQ,Technology,8.82,7.5,,0.0,0.0,,7.2,12.96,0.0,95.41,95.41,0.0,18.03,8.12,8.12,-139.68,7.94,0.0,9.0,16.2,3450874880.0,547.0,-13.46,-17.18,-12.54,37.83
Philip Morris International Inc.,PM,Consumer Defensive,23.18,19.71,,0.0,0.0,,7.28,-7.44,0.0,84.24,84.24,0.0,2.54,25.64,25.64,-30.61,20.87,0.0,9.1,-9.3,8575249920.0,323.0,0.59,115.45,133.4,23.56
Eaton Corporation plc,ETN,Industrials,20.84,17.72,,20.84,17.72,,13.44,-7.52,1.1,88.05,88.05,0.0,3.01,39.07,39.07,7.85,18.76,18.76,16.8,-9.4,2646500096.0,110.0,11.17,112.75,188.29,32.32
The Estée Lauder Companies Inc.,EL,Consumer Defensive,7.31,6.21,,-5.95,-5.06,,3.68,-36.4,2.33,97.59,97.59,0.0,1.42,26.27,26.27,7.58,6.58,-5.35,4.6,-45.5,1807624960.0,167.0,-2.42,-54.34,-71.71,23.56
Arch Capital Group Ltd.,ACGL,BFSI,21.31,18.11,,21.31,18.11,,-2.64,75.68,0.11,97.51,97.51,0.0,1.05,7.86,7.86,1.54,19.18,19.18,-3.3,94.6,5276125184.0,0.0,14.29,49.94,177.0,17.06
Parker-Hannifin Corporation,PH,Industrials,24.84,21.12,,24.84,21.12,,8.48,-3.36,0.66,91.18,91.18,0.0,3.77,35.58,35.58,8.31,22.36,22.36,10.6,-4.2,2774481920.0,83.0,36.27,159.98,237.91,32.32
Cincinnati Financial Corporation,CINF,BFSI,18.73,15.92,,18.73,15.92,,9.28,9.6,0.06,73.43,73.43,0.0,2.19,10.98,10.98,1.89,16.86,16.86,11.6,12.0,2748250112.0,196.0,31.32,116.4,86.77,17.06
"Keysight Technologies, Inc.",KEYS,Technology,18.17,15.45,,18.17,15.45,,25.2,28.48,0.44,92.88,92.88,0.0,1.12,50.54,50.54,8.47,16.36,16.36,31.5,35.6,1085750016.0,0.0,93.2,92.61,103.59,37.83
"MercadoLibre, Inc.",MELI,Consumer Cyclical,31.26,26.57,,31.26,26.57,,39.2,-12.48,1.7,90.06,90.06,0.0,1.09,46.51,46.51,12.28,28.13,28.13,49.0,-15.6,-4104624896.0,0.0,-29.5,46.01,13.48,25.44
"Monolithic Power Systems, Inc.",MPWR,Technology,19.57,16.64,,19.57,16.64,,20.88,31.6,0.01,104.65,104.65,0.0,1.69,92.61,92.61,17.21,17.62,17.62,26.1,39.5,491719136.0,62.0,73.8,150.34,248.38,37.83
Avery Dennison Corporation,AVY,Consumer Cyclical,30.86,26.23,,30.86,26.23,,5.6,3.44,1.65,98.8,98.8,0.0,1.92,18.8,18.8,5.56,27.77,27.77,7.0,4.3,809049984.0,240.0,-7.39,6.81,-11.69,25.44
Southwest Airlines Co.,LUV,Industrials,10.06,8.55,,10.06,8.55,,10.24,9.6,0.93,90.66,90.66,0.0,0.34,33.5,33.5,3.57,9.06,9.06,12.8,12.0,-372375008.0,143.0,48.62,51.19,4.05,32.32
"Ross Stores, Inc.",ROST,Consumer Cyclical,38.98,33.13,,38.98,33.13,,16.48,29.92,0.75,96.8,96.8,0.0,2.52,29.85,29.85,10.87,35.08,35.08,20.6,37.4,2047583488.0,83.0,63.21,103.05,78.26,25.44
News Corporation,NWS,Communication Services,6.52,5.55,,6.52,5.55,,7.04,-8.32,0.32,86.23,86.23,0.0,3.53,38.19,38.19,1.93,5.87,5.87,8.8,-10.4,1744000000.0,66.0,-11.06,56.15,30.77,25.32
"Uber Technologies, Inc.",UBER,Technology,35.31,30.01,,35.31,30.01,,11.6,-67.68,0.48,86.53,86.53,0.0,6.04,18.47,18.47,6.12,31.78,31.78,14.5,-84.6,6536625152.0,0.0,-23.01,68.24,46.52,37.83
Allegion plc,ALLE,Industrials,34.18,29.05,,34.18,29.05,,7.76,-5.6,1.06,102.05,102.05,0.0,2.16,19.2,19.2,5.75,30.76,30.76,9.7,-7.0,494362496.0,151.0,-5.11,23.61,8.53,32.32
FactSet Research Systems Inc.,FDS,BFSI,27.03,22.98,,27.03,22.98,,5.12,-7.68,0.77,109.94,109.94,0.0,1.19,16.47,16.47,4.4,24.33,24.33,6.4,-9.6,621161344.0,186.0,-44.16,-34.49,-22.72,17.06
Caterpillar Inc.,CAT,Industrials,51.33,43.63,,51.33,43.63,,17.76,24.16,2.31,73.04,73.04,0.0,2.29,48.08,48.08,23.78,46.2,46.2,22.2,30.2,3776624896.0,68.0,146.11,316.8,393.51,32.32
"Tyson Foods, Inc.",TSN,Consumer Defensive,3.7,3.15,,2.62,2.23,,3.52,2881.76,0.44,94.88,94.88,0.0,1.04,46.37,46.37,1.15,3.33,2.36,4.4,3602.2,1029000000.0,346.0,5.63,30.02,-6.57,23.56
"Qnity Electronics, Inc.",Q,Technology,7.59,6.46,,7.48,6.36,,14.08,-17.36,0.61,76.53,76.53,0.0,2.37,45.73,45.73,4.13,6.84,6.73,17.6,-21.7,702374976.0,23.0,48.74,0.0,0.0,37.83
Chubb Limited,CB,BFSI,15.43,13.12,,15.43,13.12,,8.16,62.96,0.31,94.17,94.17,0.0,3.18,12.77,12.77,1.9,13.89,13.89,10.2,78.7,12622624768.0,113.0,29.0,102.01,139.83,17.06
Equifax Inc.,EFX,Industrials,14.37,12.21,,14.37,12.21,,11.44,27.2,1.13,105.82,105.82,0.0,1.68,30.29,30.29,4.52,12.93,12.93,14.3,34.0,1024662528.0,130.0,-34.84,-24.26,-27.31,32.32
"Micron Technology, Inc.",MU,Technology,66.64,56.64,,66.64,56.64,,276.56,1094.8,0.06,81.64,81.64,0.0,0.14,22.08,22.08,15.19,59.97,59.97,345.7,1368.5,7639499776.0,5.0,713.51,1373.34,1133.69,37.83
Pinnacle West Capital Corporation,PNW,Utilities,9.56,8.13,,9.56,8.13,,9.12,9.6,2.13,108.52,108.52,0.0,3.28,20.4,20.4,1.88,8.6,8.6,11.4,12.0,-831102848.0,333.0,21.39,54.07,63.19,22.42
Lam Research Corporation,LRCX,Technology,66.76,56.75,,66.76,56.75,,19.04,32.64,0.35,88.31,88.31,0.0,2.03,66.18,66.18,41.52,60.09,60.09,23.8,40.8,4352341504.0,30.0,258.07,462.12,495.25,37.83
Trane Technologies plc,TT,Industrials,36.63,31.14,,36.63,31.14,,4.8,-1.68,0.54,91.86,91.86,0.0,2.03,36.5,36.5,12.31,32.97,32.97,6.0,-2.1,2662362624.0,88.0,10.02,163.57,174.79,32.32
"W.W. Grainger, Inc.",GWW,Industrials,46.13,39.21,,46.13,39.21,,8.08,14.56,0.64,82.17,82.17,0.0,2.1,36.1,36.1,16.14,41.52,41.52,10.1,18.2,1152125056.0,69.0,29.89,78.27,216.0,32.32
Solventum Corporation,SOLV,Healthcare,34.79,29.58,,34.79,29.58,,-2.4,-72.8,1.06,91.5,91.5,0.0,1.22,9.58,9.58,2.73,31.32,31.32,-3.0,-91.0,378500000.0,0.0,2.66,0.0,0.0,26.17
Brown-Forman Corporation,BF-B,Consumer Defensive,17.85,15.17,,17.85,15.17,,1.6,-50.16,0.65,74.65,74.65,0.0,4.2,17.1,17.1,2.98,16.06,16.06,2.0,-62.7,739625024.0,351.0,-5.83,-57.09,-60.66,23.56
VICI Properties Inc.,VICI,Real Estate,11.33,9.63,,11.33,9.63,,2.8,48.08,0.62,98.66,98.66,0.0,1.5,9.31,9.31,1.03,10.2,10.2,3.5,60.1,1285280000.0,662.0,-17.31,4.23,15.36,33.16
"American Water Works Company, Inc.",AWK,Utilities,10.22,8.68,,10.22,8.68,,4.56,-3.84,1.42,103.06,103.06,0.0,2.65,24.27,24.27,2.42,9.2,9.2,5.7,-4.8,-1896625024.0,262.0,-2.21,4.27,-4.96,22.42
Lennox International Inc.,LII,Industrials,76.79,65.27,,76.79,65.27,,4.64,-6.16,1.61,88.73,88.73,0.0,1.64,25.31,25.31,16.35,69.11,69.11,5.8,-7.7,187137504.0,95.0,-3.73,83.09,75.31,32.32
EQT Corporation,EQT,Energy,13.4,11.39,,13.4,11.39,,39.92,392.0,0.21,94.67,94.67,0.0,2.39,9.98,9.98,1.31,12.06,12.06,49.9,490.0,2503225856.0,125.0,-6.32,38.12,172.36,18.21
"Host Hotels & Resorts, Inc.",HST,Real Estate,14.87,12.64,,14.87,12.64,,2.24,84.24,0.8,107.26,107.26,0.0,3.85,15.88,15.88,2.34,13.38,13.38,2.8,105.3,1190875008.0,343.0,45.85,72.21,77.2,33.16
"Roper Technologies, Inc.",ROP,Technology,9.01,7.66,,9.01,7.66,,9.04,47.36,0.56,105.13,105.13,0.0,1.49,22.73,22.73,1.98,8.11,8.11,11.3,59.2,2169925120.0,100.0,-35.65,-21.21,-20.81,37.83
Johnson Controls International plc,JCI,Industrials,13.45,11.43,,13.45,11.43,,6.56,31.12,0.7,93.96,93.96,0.0,1.9,43.05,43.05,6.35,12.1,12.1,8.2,38.9,2870374912.0,114.0,32.82,121.13,126.01,32.32
Northrop Grumman Corporation,NOC,Industrials,28.51,24.24,,28.51,24.24,,3.52,67.92,1.03,84.58,84.58,0.0,4.09,17.21,17.21,4.56,25.66,25.66,4.4,84.9,2071624960.0,171.0,8.09,29.79,61.2,32.32
Teledyne Technologies Incorporated,TDY,Technology,9.05,7.69,,9.05,7.69,,6.08,17.28,0.23,101.15,101.15,0.0,1.4,33.0,33.0,2.86,8.14,8.14,7.6,21.6,760562496.0,0.0,26.5,62.41,54.4,37.83
"Automatic Data Processing, Inc.",ADP,Technology,71.21,60.53,,71.21,60.53,,5.6,8.4,0.69,90.77,90.77,0.0,2.26,22.62,22.62,15.28,64.09,64.09,7.0,10.5,4749387264.0,281.0,-21.44,20.57,34.44,37.83
The Kroger Co.,KR,Consumer Defensive,13.78,11.71,,13.78,11.71,,1.76,10.56,3.73,90.41,90.41,0.0,0.56,34.05,34.05,6.29,12.4,12.4,2.2,13.2,2994500096.0,247.0,-18.52,31.86,73.12,23.56
"Marvell Technology, Inc.",MRVL,Technology,16.03,13.62,,16.03,13.62,,22.08,-64.32,0.29,86.22,86.22,0.0,1.39,84.0,84.0,11.79,14.43,14.43,27.6,-80.4,2269700096.0,10.0,242.82,312.46,334.94,37.83
TE Connectivity plc,TEL,Technology,22.72,19.31,,22.72,19.31,,11.6,5720.0,0.44,97.56,97.56,0.0,0.91,20.17,20.17,4.36,20.45,20.45,14.5,7150.0,2322249984.0,151.0,15.37,50.69,57.02,37.83
Exelon Corporation,EXC,Utilities,9.76,8.3,,9.76,8.3,,6.32,-0.24,1.75,95.31,95.31,0.0,3.08,17.54,17.54,1.67,8.79,8.79,7.9,-0.3,-2807749888.0,351.0,10.91,33.68,78.42,22.42
Blackstone Inc.,BX,BFSI,29.53,25.1,,29.53,25.1,,4.56,3.12,0.72,74.65,74.65,0.0,2.06,31.48,31.48,11.52,26.58,26.58,5.7,3.9,0.0,405.0,-19.75,47.58,49.29,17.06
"Motorola Solutions, Inc.",MSI,Technology,99.29,84.4,,99.29,84.4,,5.92,-11.04,3.74,90.64,90.64,0.0,2.28,34.14,34.14,27.61,89.36,89.36,7.4,-13.8,1815124992.0,115.0,-0.87,54.01,101.07,37.83
APA Corporation,APA,Energy,26.22,22.28,,26.22,22.28,,-9.52,25.76,0.61,106.2,106.2,0.0,0.54,7.54,7.54,1.77,23.6,23.6,-11.9,32.2,1691250048.0,309.0,66.72,9.22,82.28,18.21
Bristol-Myers Squibb Company,BMY,Healthcare,38.73,32.92,,38.73,32.92,,2.08,7.36,2.31,83.83,83.83,0.0,1.51,16.28,16.28,5.91,34.86,34.86,2.6,9.2,9851750400.0,434.0,25.04,5.38,7.04,26.17
"CF Industries Holdings, Inc.",CF,Basic Materials,27.3,23.2,,27.3,23.2,,15.52,92.08,0.44,103.91,103.91,0.0,3.28,9.96,9.96,3.18,24.57,24.57,19.4,115.1,1076375040.0,181.0,16.13,73.46,146.55,29.1
Ares Management Corporation,ARES,BFSI,14.18,12.05,,14.18,12.05,,22.64,616.4,1.69,101.1,101.1,0.0,1.08,53.87,53.87,10.27,12.76,12.76,28.3,770.5,1757137152.0,462.0,-33.15,35.76,110.22,17.06
PACCAR Inc,PCAR,Industrials,13.11,11.14,,13.11,11.14,,-7.12,15.76,0.76,77.88,77.88,0.0,1.22,25.43,25.43,3.18,11.8,11.8,-8.9,19.7,1481787520.0,117.0,23.65,65.41,148.6,32.32
"C.H. Robinson Worldwide, Inc.",CHRW,Industrials,34.84,29.61,,34.84,29.61,,-0.64,7.92,0.97,107.71,107.71,0.0,2.68,38.43,38.43,13.16,31.35,31.35,-0.8,9.9,642142272.0,133.0,96.27,116.82,129.38,32.32
Ecolab Inc.,ECL,Basic Materials,22.43,19.06,,22.43,19.06,,8.0,6.24,0.92,93.98,93.98,0.0,2.63,38.29,38.29,7.97,20.18,20.18,10.0,7.8,1586424960.0,103.0,4.26,61.45,43.0,29.1
