Name,Ticker,Sector,ROCE %,Avg ROCE 5Yr %,Min ROCE 5Yr %,ROE %,Avg ROE 5Yr %,Min ROE 5Yr %,Sales growth 5Yr %,Profit growth 5Yr %,Debt to equity,Promoter holding %,Promoter holding 3Yr ago %,Pledged percentage %,PEG Ratio,PE,Avg PE 5Yr,Price to book,Avg ROCE 3Yr %,Avg ROE 3Yr %,Sales growth 3Yr %,Profit growth 3Yr %,Free cash flow last year,Dividend yield %,Return 1Yr %,Return 3Yr %,Return 5Yr %,Industry PE
Hormel Foods Corporation,HRL,Consumer Defensive,6.87,5.84,,5.83,4.96,,-2.32,-4.08,0.04,94.37,94.37,0.0,1.75,29.41,29.41,1.73,6.19,5.25,-2.9,-5.1,471169760.0,468.0,-18.06,-28.6,-38.52,23.56
"Williams-Sonoma, Inc.",WSM,Consumer Cyclical,54.01,45.91,,54.01,45.91,,3.52,3.44,0.8,100.15,100.15,0.0,2.99,25.51,25.51,12.98,48.61,48.61,4.4,4.3,885462144.0,134.0,34.47,281.9,210.14,25.44
Arm Holdings plc,ARM,Technology,11.95,10.16,,11.95,10.16,,16.08,38.32,0.06,95.51,95.51,0.0,2.6,370.92,370.92,40.49,10.76,10.76,20.1,47.9,750499968.0,0.0,114.65,0.0,0.0,37.83
"The Goldman Sachs Group, Inc.",GS,BFSI,14.55,12.37,,14.55,12.37,,11.6,19.36,6.79,75.07,75.07,0.0,1.58,18.66,18.66,2.87,13.09,13.09,14.5,24.2,0.0,176.0,43.61,247.67,210.23,17.06
"American International Group, Inc.",AIG,BFSI,7.72,6.56,,7.72,6.56,,1.12,17.28,0.23,100.76,100.76,0.0,0.65,13.98,13.98,1.05,6.95,6.95,1.4,21.6,9517249536.0,252.0,-4.38,50.23,90.84,17.06
Verizon Communications Inc.,VZ,Communication Services,17.2,14.62,,17.2,14.62,,2.32,3.44,1.92,70.32,70.32,0.0,0.8,10.38,10.38,1.72,15.48,15.48,2.9,4.3,19608500224.0,665.0,-0.56,41.48,2.91,25.32
"AMETEK, Inc.",AME,Industrials,14.63,12.43,,14.63,12.43,,9.04,11.6,0.22,92.81,92.81,0.0,3.04,35.44,35.44,4.92,13.16,13.16,11.3,14.5,1385356544.0,58.0,28.65,50.65,82.24,32.32
"Salesforce, Inc.",CRM,Technology,16.91,14.37,,16.91,14.37,,10.64,41.76,1.24,97.18,97.18,0.0,0.79,19.23,19.23,3.97,15.22,15.22,13.3,52.2,16552999936.0,106.0,-38.43,-20.35,-32.47,37.83
"Applied Materials, Inc.",AMAT,Technology,39.69,33.74,,39.69,33.74,,9.12,26.8,0.3,85.41,85.41,0.0,1.52,56.84,56.84,20.03,35.72,35.72,11.4,33.5,3040375040.0,35.0,216.09,329.09,359.85,37.83
Camden Property Trust,CPT,Real Estate,9.06,7.71,,9.06,7.71,,-0.4,9.68,1.04,110.03,110.03,0.0,9.17,32.75,32.75,3.03,8.16,8.16,-0.5,12.1,688079616.0,362.0,3.43,23.03,1.97,33.16
