Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Return on capital employed,Return on equity,Average return on equity 5Years,Average return on equity 3Years,Average return on capital employed 3Years,Average return on capital employed 5Years,Sales growth 3Years,Sales growth 5Years,Profit growth 3Years,Profit growth 5Years,Debt to equity,Promoter holding,Change in promoter holding 3Years,Change in promoter holding,Pledged percentage,PEG Ratio,Historical PE 5Years,Historical PE 3Years,Price to book value,Historical PBV 3Years,Historical PBV 5Years,Dividend Payout,Dividend Payout Ratio,Average dividend payout 3years,Average 5years dividend,Free cash flow 3years,Free cash flow 5years,Free cash flow preceding year,Free cash flow last year,Industry PE,EPS,Interest Coverage Ratio,Return over 1year,Return over 3years,Return over 5years
KPIT Technologi.,542651,KPITTECH,INE04I401011,IT - Software,Computers - Software & Consulting,558.65,22.63,15315.04,1.52,26.31,20.97,26.38,27.32,34.90,31.77,24.25,25.96,21.15,36.82,0.24,39.42,-0.07,0.00,0.00,1.07,58.26,51.75,4.33,16.31,14.07,32.04,32.04,30.04,162.28,3165.26,3906.58,1262.20,1056.18,21.52,23.25,13.65,-55.80,-19.11,16.65
L&T Finance Ltd,533519,LTF,INE498L01015,Finance,Non Banking Financial Company (NBFC),327.00,27.29,81935.09,0.84,8.40,11.22,7.57,10.80,8.44,7.42,11.93,6.05,255.77,32.35,3.94,65.99,-0.12,-0.04,0.00,0.11,19.59,18.81,2.93,1.86,1.50,23.10,23.10,25.29,523.33,-30636.17,-17240.29,-16776.86,-14426.81,22.34,11.90,1.60,59.02,35.46,28.50
Larsen & Toubro,500510,LT,INE018A01030,Construction,Civil Construction,4026.60,33.76,553951.11,0.94,14.57,15.86,13.90,15.52,14.03,12.82,15.96,16.02,17.38,3.38,1.15,0.00,0.00,0.00,0.00,1.94,32.50,34.74,5.07,5.43,5.03,32.50,32.50,33.13,4208.25,31938.79,67046.03,5610.69,12272.29,17.73,116.92,3.63,12.02,17.68,21.71
Laurus Labs,540222,LAURUSLABS,INE947Q01028,Pharmaceuticals & Biotechnology,Pharmaceuticals,1542.30,93.16,83322.69,0.13,17.76,18.30,14.85,10.10,11.17,16.41,4.09,7.19,4.21,-1.89,0.48,27.49,0.29,0.00,2.69,22.13,60.71,93.42,15.71,7.39,7.77,12.15,12.15,19.02,86.20,610.56,651.35,60.52,560.36,35.08,16.46,7.97,98.75,63.27,17.63
Lenskart Solut.,544600,LENSKART,INE956O01016,Retailing,Speciality Retail,533.00,184.23,92673.81,0.00,8.44,6.86,2.28,4.02,5.25,2.46,32.51,57.64,114.65,77.04,0.35,17.55,,-0.02,0.00,1.61,141.41,141.41,10.59,12.77,12.77,0.00,0.00,0.00,0.00,1706.42,958.38,804.92,846.49,51.42,2.84,4.90,,,
LG Electronics,544576,LGEINDIA,INE324D01010,Consumer Durables,Household Appliances,1547.50,62.33,105040.03,0.00,32.23,24.72,29.61,34.26,45.33,39.92,7.39,10.28,7.82,1.97,0.06,85.00,,0.00,0.00,7.97,55.98,55.98,13.70,14.55,14.55,0.00,0.00,46.17,1368.87,3293.69,4979.11,1319.33,549.12,48.05,24.83,57.67,,,
LIC Housing Fin.,500253,LICHSGFIN,INE115A01026,Finance,Housing Finance Company,553.70,5.44,30456.99,1.81,8.59,14.41,13.92,15.48,8.77,8.20,8.28,7.72,24.69,15.38,6.70,45.24,0.00,0.00,0.00,0.22,7.15,6.44,0.74,0.95,0.91,9.82,9.82,10.11,506.37,-32426.33,-68863.43,-16682.42,-8555.85,16.19,101.87,1.36,-9.35,12.03,3.26
Lodha Developers,543287,LODHA,INE670K01029,Realty,"Residential, Commercial Projects",1057.00,30.80,105604.28,0.40,16.58,15.77,12.80,13.84,14.23,12.34,20.76,25.07,57.46,59.02,0.42,72.27,-2.72,0.42,0.00,0.54,47.08,50.72,4.53,6.43,5.97,12.38,12.38,14.06,233.73,4146.70,8786.50,1091.40,709.10,28.75,34.32,7.66,-22.74,14.63,25.80
LTM,540005,LTM,INE214T01019,IT - Software,Computers - Software & Consulting,3757.80,20.62,111464.36,2.00,29.60,23.13,25.70,23.14,29.78,34.98,8.43,27.88,7.03,22.79,0.10,68.52,-0.16,-0.01,0.00,2.93,33.94,34.32,4.64,7.97,8.38,44.24,44.24,42.69,1894.40,12338.30,16696.10,3612.20,3889.60,21.52,169.25,27.49,-29.31,-10.50,-1.47
Lupin,500257,LUPIN,INE326A01037,Pharmaceuticals & Biotechnology,Pharmaceuticals,2476.00,19.64,113210.78,0.48,30.32,29.08,13.14,22.28,22.45,13.17,18.88,13.02,141.27,37.39,0.29,46.86,-0.22,-0.03,0.00,0.14,38.03,36.53,5.04,5.42,4.48,15.43,15.43,17.06,419.85,9605.93,9511.40,1346.86,5527.35,35.08,116.65,18.10,24.99,40.26,16.42
M & M,500520,M&M,INE101A01026,Automobiles,Passenger Cars & Utility Vehicles,3136.90,22.06,390082.56,1.05,15.45,20.79,18.32,19.22,14.32,13.23,17.85,21.74,23.57,51.28,1.44,18.45,-0.92,0.02,0.02,0.94,25.59,28.87,4.19,5.10,3.52,21.57,21.57,21.43,2391.70,-19390.55,-29303.67,-6633.18,2545.34,30.30,137.50,3.72,-0.81,28.59,31.70
M & M Fin. Serv.,532720,M&MFIN,INE774D01024,Finance,Non Banking Financial Company (NBFC),334.05,15.72,46431.99,2.25,8.72,12.26,10.57,11.14,8.76,8.52,17.93,11.19,11.83,34.68,4.82,52.49,0.33,0.00,0.00,1.33,17.82,17.89,1.74,1.96,1.86,36.51,36.51,37.41,761.31,-47814.16,-65884.05,-15974.67,-13120.42,22.34,20.54,1.44,25.37,0.01,16.45
Mankind Pharma,543904,MANKIND,INE634S01028,Pharmaceuticals & Biotechnology,Pharmaceuticals,2528.60,51.98,104430.16,0.04,13.50,13.12,17.11,15.62,18.54,21.95,17.73,18.10,17.03,10.52,0.39,72.66,-3.84,0.00,0.00,3.05,50.23,50.54,6.40,9.10,9.10,2.16,2.16,0.72,8.26,6052.38,5617.07,1894.60,2387.04,35.08,46.34,4.85,3.65,14.20,
Marico,531642,MARICO,INE196A01026,Agricultural Food & other Products,Edible Oil,838.55,61.79,108876.19,0.48,47.21,43.05,39.36,41.02,45.15,44.05,11.71,11.08,11.21,8.68,0.13,58.92,-0.50,0.00,2.03,5.51,54.48,55.14,25.86,21.66,19.81,29.51,29.51,65.14,974.75,4208.00,6329.00,1202.00,1772.00,20.39,13.57,43.96,15.09,15.90,9.59
Maruti Suzuki,532500,MARUTI,INE585B01010,Automobiles,Passenger Cars & Utility Vehicles,14366.00,30.77,451670.74,0.97,19.02,14.43,13.78,16.00,21.47,17.00,15.96,21.10,29.60,27.05,0.00,58.53,2.05,0.25,0.00,1.04,32.61,28.02,4.22,4.68,4.63,29.98,29.98,29.46,3421.20,21933.20,23454.10,5533.10,8754.30,30.30,466.90,81.09,13.60,12.86,13.58
Max Financial,500271,MFSL,INE180A01020,Insurance,Life Insurance,1596.60,663.24,55101.02,0.00,2.95,1.57,6.64,5.59,6.97,8.48,14.92,8.80,-39.68,-27.87,0.35,1.25,-8.90,0.00,42.07,-16.71,107.45,116.90,10.43,9.80,8.86,0.00,0.00,0.00,0.00,25253.88,43373.15,8135.88,11234.67,68.57,2.43,2.07,0.42,25.48,9.14
Max Healthcare,543220,MAXHEALTH,INE027H01010,Healthcare Services,Hospital,1153.40,75.65,112253.94,0.17,14.72,14.75,13.59,13.67,15.20,14.56,22.43,27.27,10.41,60.02,0.32,23.71,-0.06,-0.01,0.00,7.27,72.30,78.82,10.44,10.63,9.04,13.49,13.49,13.61,116.67,1007.09,2076.93,500.19,164.84,49.54,14.82,8.33,-11.15,24.09,32.49
Mazagon Dock,543237,MAZDOCK,INE249Z01020,Industrial Manufacturing,Ship Building & Allied Services,2543.60,39.72,102603.74,0.68,35.98,29.20,29.50,32.33,41.14,35.45,18.44,26.30,32.19,33.51,0.05,81.22,-3.61,0.00,0.00,1.23,31.49,37.90,10.52,11.43,8.65,28.29,28.29,28.58,495.92,-1418.85,-220.00,1598.76,-3364.87,47.83,64.04,46.23,-23.59,57.47,81.81
Motil.Oswal.Fin.,532892,MOTILALOFS,INE338I01027,Capital Markets,Stockbroking & Allied,968.35,31.34,58308.88,0.62,12.66,15.53,22.38,23.16,17.39,16.82,30.95,20.94,25.93,6.96,1.65,67.54,-2.14,-0.08,0.00,1.21,11.60,16.04,4.52,4.34,3.03,19.32,19.32,13.28,233.28,-5724.22,-7993.53,930.48,-6159.71,22.30,31.06,2.84,5.48,73.73,34.98
Mphasis,526299,MPHASIS,INE356A01018,IT - Software,Computers - Software & Consulting,2296.60,23.21,43835.76,2.70,22.80,18.54,19.45,18.41,23.16,25.12,4.79,10.31,5.12,9.20,0.24,30.55,-25.08,-0.04,0.00,4.53,29.57,29.51,4.08,5.62,5.71,63.52,63.52,64.68,1022.44,4715.27,7662.43,1845.33,781.86,21.52,97.61,13.47,-21.46,6.86,1.67
MRF,500290,MRF,INE883A01011,Auto Components,Tyres & Rubber Products,134655.00,23.09,57109.11,0.17,15.73,12.54,9.61,12.13,15.44,12.16,10.62,14.02,52.34,14.09,0.15,27.78,-0.07,0.05,0.09,0.44,31.86,28.63,2.72,3.24,2.90,4.11,4.11,4.50,84.38,4878.58,2061.32,573.26,3164.28,24.20,5720.45,9.97,-6.47,10.36,10.75
Multi Comm. Exc.,534091,MCX,INE745G01043,Capital Markets,Exchange and Data Platform,2814.00,53.89,71754.71,0.21,71.37,56.27,27.54,36.39,40.46,29.79,64.89,42.59,107.53,48.69,0.00,0.00,0.00,0.00,0.00,0.50,59.62,76.89,25.20,19.64,12.18,15.32,15.32,29.84,116.41,4115.50,4495.19,854.23,2962.38,53.89,52.22,4696.36,58.37,110.01,55.68
Muthoot Finance,533398,MUTHOOTFIN,INE414G01012,Finance,Non Banking Financial Company (NBFC),3054.90,11.58,122644.60,0.98,15.77,30.92,22.80,23.86,14.10,13.64,37.91,22.03,43.10,22.71,3.88,73.35,0.00,0.00,0.00,0.27,15.01,16.62,3.13,3.16,3.09,11.37,11.37,17.74,979.51,-88109.80,-92744.71,-26740.46,-47543.34,22.34,263.79,2.30,14.73,34.34,14.41
Natl. Aluminium,532234,NATIONALUM,INE139A01034,Non - Ferrous Metals,Aluminium,347.60,11.01,63841.32,3.02,39.59,29.42,23.14,25.72,33.39,29.70,7.77,14.78,59.34,34.88,0.00,51.28,0.00,0.00,0.00,0.19,10.01,13.12,2.96,2.39,1.93,33.27,33.27,38.69,1359.11,10128.96,12197.19,4640.57,4413.49,18.02,31.56,78.64,80.96,60.64,33.67
Nestle India,500790,NESTLEIND,INE239A01024,Food Products,Packaged Foods,1459.80,81.62,281495.32,0.82,84.14,73.17,97.54,92.30,116.29,127.39,11.07,11.64,13.07,10.62,0.08,62.76,0.00,0.00,0.00,6.24,78.81,76.95,53.02,64.74,77.58,65.28,65.28,74.26,2414.33,7447.94,11149.83,930.14,4221.31,44.79,18.38,29.33,22.02,8.43,10.60
NHPC Ltd,533098,NHPC,INE848E01016,Power,Power Generation,80.53,21.48,80892.67,2.37,5.73,9.29,9.27,8.72,7.00,7.13,3.07,3.78,-1.19,2.12,1.26,67.40,-3.55,0.00,0.00,-18.05,17.40,25.84,1.95,2.02,1.74,42.95,42.95,53.28,1824.18,-11812.13,-11193.35,-3823.38,-8273.75,24.73,3.75,3.74,-5.30,21.05,25.08
