Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Return on capital employed,Return on equity,Average return on equity 5Years,Average return on equity 3Years,Average return on capital employed 3Years,Average return on capital employed 5Years,Sales growth 3Years,Sales growth 5Years,Profit growth 3Years,Profit growth 5Years,Debt to equity,Promoter holding,Change in promoter holding 3Years,Change in promoter holding,Pledged percentage,PEG Ratio,Historical PE 5Years,Historical PE 3Years,Price to book value,Historical PBV 3Years,Historical PBV 5Years,Dividend Payout,Dividend Payout Ratio,Average dividend payout 3years,Average 5years dividend,Free cash flow 3years,Free cash flow 5years,Free cash flow preceding year,Free cash flow last year,Industry PE,EPS,Interest Coverage Ratio,Return over 1year,Return over 3years,Return over 5years
360 ONE,542772,360ONE,INE466L01038,Capital Markets,Stockbroking & Allied,1109.50,37.10,45121.70,1.08,12.13,14.39,18.86,18.25,13.83,13.65,28.48,21.40,22.73,26.80,1.62,6.24,-15.78,-0.01,0.00,1.63,33.22,36.78,4.58,7.58,5.34,40.07,40.07,45.65,852.06,-6045.71,-6528.78,-2457.97,-3016.56,22.30,29.94,2.45,-10.91,32.69,29.77
A B B,500002,ABB,INE117A01022,Electrical Equipment,Heavy Electrical Equipment,6950.50,96.69,147286.92,0.57,29.93,22.39,21.60,24.70,33.06,27.66,15.51,17.80,29.76,57.13,0.01,75.00,0.00,0.00,0.00,3.25,96.12,83.74,18.80,18.58,16.72,50.01,50.01,50.00,523.52,3266.39,4374.78,1118.10,979.89,37.55,140.50,108.67,18.57,16.55,31.41
Adani Energy Sol,539254,ADANIENSOL,INE931S01010,Power,Power Distribution,1568.80,84.07,188457.22,0.00,9.65,9.44,10.93,10.47,9.64,9.91,27.56,22.68,21.29,12.86,1.93,72.73,1.08,1.54,0.54,3.95,90.41,67.27,7.41,7.10,9.05,0.00,0.00,0.00,0.00,-3160.67,-4180.14,-333.63,-3435.12,84.07,19.00,1.84,78.84,26.77,11.55
Adani Enterp.,512599,ADANIENT,INE423A01024,Metals & Minerals Trading,Trading - Minerals,3212.10,,417863.70,0.04,5.80,-3.38,3.62,2.41,8.38,8.26,-7.64,20.50,,,1.32,74.67,5.44,0.69,0.80,,112.21,101.44,5.13,7.46,9.57,1.80,1.80,2.83,142.61,-67929.42,-75218.09,-25002.30,-30993.05,80.54,72.31,1.66,27.47,11.36,18.90
Adani Green,541450,ADANIGREEN,INE364U01010,Power,Power Generation,1556.20,140.03,256333.55,0.00,7.39,11.40,14.45,13.07,8.62,8.25,18.47,32.85,17.34,44.08,5.19,62.43,5.17,0.00,0.00,8.08,177.59,122.99,12.84,17.14,27.08,0.00,0.00,0.00,0.00,-40241.00,-48042.00,-16397.00,-15857.00,24.73,10.03,1.35,56.12,17.96,10.04
Adani Ports,532921,ADANIPORTS,INE742F01042,Transport Infrastructure,Port & Port services,1874.20,33.31,431808.01,0.40,14.12,16.38,16.81,17.83,13.88,12.43,22.93,25.28,27.25,21.00,0.66,68.02,6.99,0.00,0.00,1.22,27.38,26.95,4.50,4.84,4.72,13.49,13.49,14.37,1334.48,21930.11,31666.71,9228.08,5074.04,24.13,55.58,4.23,31.58,36.14,21.42
Adani Power,533096,ADANIPOWER,INE814H01029,Power,Integrated Power Utilities,221.79,33.48,427715.24,0.00,17.22,21.07,33.42,31.77,24.00,20.79,11.84,15.65,5.87,58.41,0.84,74.96,-0.01,0.00,1.81,5.70,15.77,15.78,6.59,4.85,4.77,0.00,0.00,0.00,0.00,18708.45,30695.55,9957.23,-2817.04,29.84,6.66,5.58,89.63,65.27,59.69
Adani Total Gas,542066,ATGL,INE399L01023,Gas,LPG/CNG/PNG/LNG Supplier,721.75,125.31,79378.79,0.03,15.09,14.06,17.99,16.64,17.82,19.67,10.23,28.16,6.16,5.60,0.47,74.80,0.00,0.00,0.00,20.34,149.34,113.92,16.45,19.17,28.96,4.32,4.32,4.26,27.50,619.19,88.63,145.07,247.34,15.71,5.79,7.65,9.34,3.56,-3.77
Aditya Birla Cap,540691,ABCAPITAL,INE674K01013,Finance,Investment Company,401.25,28.85,109710.03,0.00,8.72,11.74,14.38,12.22,9.30,9.46,14.69,18.77,-7.44,27.55,5.22,68.81,-2.21,0.23,0.00,-3.88,17.99,18.07,3.05,2.22,2.11,0.00,0.00,0.00,0.00,-89786.55,-119301.54,-28382.40,-36905.48,32.21,14.37,1.46,45.88,28.56,28.27
Alkem Lab,539523,ALKEM,INE540L01014,Pharmaceuticals & Biotechnology,Pharmaceuticals,5562.50,27.30,66508.03,0.81,21.23,18.88,18.23,19.25,20.43,18.67,8.25,10.66,31.50,9.39,0.15,51.20,-5.96,0.00,0.00,0.87,29.06,29.96,4.81,5.47,5.09,27.53,27.53,26.33,530.80,4515.40,6751.23,1278.06,1476.08,35.08,192.51,19.94,13.84,16.56,11.36
Ambuja Cements,500425,AMBUJACEM,INE079A01024,Cement & Cement Products,Cement & Cement Products,443.40,22.05,110176.79,0.45,5.61,8.85,9.47,9.00,9.75,11.66,1.45,10.65,21.47,15.30,0.01,67.33,4.18,-0.35,0.00,1.03,32.30,33.46,1.85,2.67,2.84,10.46,10.46,11.40,634.78,-5202.64,-5520.83,-6293.14,-594.18,30.20,19.13,17.25,-25.57,0.84,5.44
APL Apollo Tubes,533758,APLAPOLLO,INE702C01027,Industrial Products,Iron & Steel Products,1788.00,41.27,49645.32,0.32,31.64,25.31,23.45,22.34,26.39,27.72,12.60,22.11,23.25,27.28,0.09,28.25,-2.90,-0.02,0.00,1.78,52.89,57.96,9.37,12.35,12.11,19.62,19.62,20.51,154.91,2462.96,2376.69,562.04,1451.18,21.77,43.33,13.42,4.10,10.85,17.19
Apollo Hospitals,508869,APOLLOHOSP,INE437A01024,Healthcare Services,Hospital,8893.50,65.39,127874.88,0.21,17.89,22.11,17.30,18.39,16.60,16.33,14.94,19.03,34.12,77.79,0.90,28.02,-1.31,0.00,2.49,1.92,81.76,84.34,13.49,13.21,12.67,14.81,14.81,17.67,216.88,2148.70,3445.40,438.60,924.80,49.54,135.04,6.96,17.74,20.54,19.06
Ashok Leyland,500477,ASHOKLEY,INE208A01029,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles,164.35,25.94,96536.80,2.13,13.82,28.11,21.84,28.41,14.36,12.11,10.59,23.71,46.11,84.95,4.49,51.35,-0.10,0.01,40.10,0.56,27.21,25.38,6.78,6.45,6.05,59.23,59.23,58.94,1280.32,-16527.73,-19437.77,-1470.51,-7711.63,33.66,5.91,2.18,31.55,25.79,21.35
Asian Paints,500820,ASIANPAINT,INE021A01026,Consumer Durables,Paints,2737.80,59.11,262609.17,1.00,26.34,21.79,24.75,24.34,29.85,30.57,1.05,10.38,2.43,7.28,0.18,52.63,0.01,0.00,9.85,24.33,64.37,57.38,12.29,13.62,17.90,60.98,60.98,61.45,2501.59,11820.70,15069.81,2603.99,5604.06,38.23,45.09,32.55,12.94,-6.73,-1.91
Astral,532830,ASTRAL,INE006I01046,Industrial Products,Plastic Products - Industrial,1385.00,67.50,37208.05,0.27,19.86,14.36,17.00,15.61,20.91,23.11,8.39,15.64,6.84,6.57,0.06,54.22,-1.63,0.00,0.00,9.87,89.12,86.73,9.17,13.18,17.13,12.58,12.58,16.77,84.69,1024.10,1469.60,90.20,660.70,21.24,19.90,12.70,-6.56,-9.51,-2.01
AU Small Finance,540611,AUBANK,INE949L01017,Banks,Other Bank,1058.40,30.01,79271.19,0.09,7.66,14.32,14.45,13.94,7.92,7.67,31.45,30.36,22.74,17.66,8.44,22.76,-2.78,-0.03,0.00,1.32,30.32,27.78,4.01,3.74,4.08,2.83,2.83,3.58,62.87,8502.25,20260.21,5205.38,1027.09,16.72,35.30,1.36,29.15,11.23,15.49
Aurobindo Pharma,524804,AUROPHARMA,INE406A01037,Pharmaceuticals & Biotechnology,Pharmaceuticals,1620.50,26.53,94118.90,0.25,12.80,10.06,10.40,10.84,13.70,12.66,10.63,6.32,22.72,0.80,0.21,51.81,-0.03,-0.01,23.65,1.17,19.17,21.71,2.48,2.19,1.96,6.63,6.63,4.98,292.54,2809.16,5179.38,1407.91,2467.95,35.08,60.34,14.48,36.03,30.35,10.08
Avenue Super.,540376,DMART,INE192R01011,Retailing,Diversified Retail,3994.40,87.71,260533.13,0.00,17.19,12.95,13.66,13.55,18.18,18.08,17.12,23.31,7.77,22.00,0.10,74.51,-0.42,-0.14,0.00,11.29,105.51,100.46,10.64,14.02,15.23,0.00,0.00,0.00,0.00,-1576.37,-2169.74,-954.24,-646.17,35.88,45.56,29.73,-6.26,1.50,3.52
Axis Bank,532215,AXISBANK,INE238A01034,Banks,Private Sector Bank,1342.10,15.83,417497.53,0.07,6.24,13.12,14.07,15.64,6.80,6.14,14.87,15.53,34.58,29.65,7.51,8.14,-0.02,-0.01,0.00,0.46,14.20,13.57,1.94,2.15,2.12,1.18,1.18,1.15,308.77,23222.95,70655.62,41950.65,-10796.69,16.01,84.89,1.44,13.97,11.56,12.04
B H E L,500103,BHEL,INE257A01026,Electrical Equipment,Heavy Electrical Equipment,383.60,83.47,133571.95,0.36,8.51,6.29,2.75,3.22,5.58,4.78,13.08,14.31,36.51,20.99,0.31,58.17,-5.00,-5.00,0.00,2.29,136.13,167.08,5.11,3.50,2.60,30.46,30.46,31.31,205.44,3248.68,2825.11,1923.81,5261.35,37.55,4.60,3.83,47.45,60.40,42.21
B P C L,500547,BPCL,INE029A01011,Petroleum Products,Refineries & Marketing,308.15,5.11,133691.05,5.68,25.69,28.80,23.84,28.54,24.65,19.28,-1.28,14.61,98.49,15.66,0.54,52.98,0.00,0.00,0.00,0.05,7.23,7.22,1.33,1.67,1.61,12.40,12.40,25.95,4141.67,66731.79,83889.24,8574.05,31733.08,5.26,59.57,12.92,-10.99,16.82,6.04
Bajaj Auto,532977,BAJAJ-AUTO,INE917I01010,Automobiles,2/3 Wheelers,9785.50,25.35,273502.61,1.53,28.24,29.15,23.85,26.27,29.94,27.96,19.94,17.79,21.12,17.32,0.58,55.01,0.03,0.02,0.01,1.20,26.10,31.42,7.04,7.76,6.42,39.02,39.02,49.35,4060.60,5458.96,13442.61,-2273.03,1884.52,36.25,384.41,12.99,16.04,26.02,18.42
Bajaj Finance,500034,BAJFINANCE,INE296A01032,Finance,Non Banking Financial Company (NBFC),1031.40,33.43,642144.93,0.52,10.82,18.23,19.86,19.54,11.36,11.22,25.56,25.18,18.59,34.13,3.82,54.70,-1.21,0.00,0.00,1.80,34.60,32.26,5.63,6.16,7.55,19.62,19.62,18.64,2490.45,-209644.58,-290258.53,-69199.90,-66685.65,22.34,30.56,1.91,11.47,9.58,11.18
Bajaj Finserv,532978,BAJAJFINSV,INE918I01026,Finance,Holding Company,1895.60,30.54,303400.26,0.08,10.52,13.22,13.74,13.84,11.09,10.93,22.40,19.96,15.69,17.30,5.52,58.71,-2.07,-0.10,0.00,1.95,35.49,33.51,3.89,4.46,5.17,2.45,2.45,2.07,149.98,-187258.87,-262281.41,-63828.56,-56618.98,15.07,61.24,1.97,-4.95,5.51,9.72
Bajaj Holdings,500490,BAJAJHLDNG,INE118A01012,Finance,Holding Company,11079.00,15.07,123298.19,1.31,11.00,12.04,11.88,12.46,11.30,10.48,27.04,18.53,19.03,17.52,0.00,51.46,0.00,0.00,0.00,0.79,15.45,16.14,1.69,1.97,1.79,22.52,22.52,19.48,1462.35,4856.72,8190.81,-1864.61,4780.52,15.07,865.89,11854.83,-22.13,15.60,24.19
Bank of Baroda,532134,BANKBARODA,INE028A01039,Banks,Public Sector Bank,252.20,6.58,130421.75,3.37,5.63,12.70,13.96,14.76,6.08,5.49,12.57,12.56,10.03,72.77,11.13,63.97,0.00,0.00,0.00,0.66,7.13,6.67,0.79,0.94,0.89,22.18,22.18,21.34,3396.54,53737.46,34485.87,28978.88,31911.33,7.92,38.38,1.30,4.74,7.12,23.91
Bank of India,532149,BANKINDIA,INE084A01016,Banks,Public Sector Bank,144.05,6.19,65581.18,3.23,5.93,12.41,9.87,11.69,5.93,5.27,16.41,13.10,41.92,39.24,11.67,73.38,-8.03,0.00,0.00,0.15,7.41,6.77,0.73,0.73,0.64,20.54,20.54,19.76,1375.63,16504.86,-27099.25,17861.35,3907.41,7.92,22.64,1.28,22.27,21.53,13.36
Bharat Dynamics,541143,BDL,INE171Z01026,Aerospace & Defense,Aerospace & Defense,1388.20,121.06,50886.21,0.33,13.84,10.19,14.17,13.92,19.24,19.88,-0.64,4.99,6.08,10.28,0.00,74.93,0.00,0.00,0.00,19.91,63.82,80.66,12.00,11.74,8.88,42.73,42.73,35.10,173.38,100.30,2550.10,-115.35,-115.35,61.46,11.47,168.50,-29.80,35.05,49.72
Bharat Electron,500049,BEL,INE263A01024,Aerospace & Defense,Aerospace & Defense,418.05,50.41,305585.30,0.57,36.53,27.58,25.89,27.76,36.67,33.40,15.90,14.37,26.72,23.64,0.00,51.14,0.00,0.00,0.00,1.89,37.21,49.28,12.74,12.83,8.96,30.15,30.15,34.49,1520.44,4153.82,8424.39,-421.61,559.94,61.46,8.29,1197.58,-2.22,50.86,47.57
Bharat Forge,500493,BHARATFORG,INE465A01025,Auto Components,Auto Components & Equipments,2136.70,86.59,102153.20,0.40,13.09,12.53,11.99,12.43,12.72,11.47,9.20,21.55,35.27,39.83,0.76,44.07,-1.18,0.00,0.00,2.46,61.24,66.80,10.66,7.95,6.92,37.64,37.64,41.63,376.77,890.06,755.89,352.42,373.57,30.18,22.58,6.63,62.55,35.71,22.62
Bharti Airtel,532454,BHARTIARTL,INE397D01024,Telecom - Services,Telecom - Cellular & Fixed line services,1910.40,40.54,1164060.09,0.84,18.50,21.86,17.02,20.44,15.01,13.64,14.88,15.96,48.98,23.96,1.31,50.07,-4.95,1.20,0.00,0.83,60.24,48.20,7.81,9.69,7.39,54.78,54.78,48.03,6490.76,174643.40,242513.80,58990.50,76683.40,41.34,43.81,3.25,-5.29,30.14,30.01
Billionbrains,544603,GROWW,INE0HOQ01053,Capital Markets,Stockbroking & Allied,206.50,62.19,129549.77,0.00,37.32,28.81,25.10,33.94,41.44,35.20,59.64,,66.41,,0.03,27.38,,-0.43,1.30,0.94,32.39,32.39,13.42,13.48,13.48,0.00,0.00,0.00,0.00,-132.77,47.27,-978.63,-32.55,22.30,3.32,62.42,,,
Biocon,532523,BIOCON,INE376G01013,Pharmaceuticals & Biotechnology,Pharmaceuticals,426.80,178.59,69555.35,0.12,3.75,1.40,4.20,3.51,5.32,6.08,14.85,18.83,-14.73,-11.84,0.45,44.68,-15.96,-0.23,0.00,-12.12,48.73,46.62,2.03,1.96,2.14,21.02,21.02,10.94,88.25,2846.10,2229.30,1718.20,82.30,35.08,2.38,1.86,12.30,18.32,1.13
Blue Star,500067,BLUESTARCO,INE472A01039,Consumer Durables,Household Appliances,1583.20,58.46,32552.93,0.54,21.17,17.14,19.73,19.36,24.29,23.55,15.85,23.81,25.41,49.44,0.24,36.49,-2.29,0.00,0.00,2.30,63.83,69.66,9.49,12.63,11.59,33.12,33.12,33.03,143.12,9.57,-94.67,322.15,-168.54,48.05,25.66,11.28,-14.01,26.16,29.41
Bosch,500530,BOSCHLTD,INE323A01026,Auto Components,Auto Components & Equipments,41895.00,52.58,123573.91,0.64,21.54,16.40,14.78,16.00,21.09,19.10,10.30,15.57,18.08,19.29,0.01,70.54,0.00,0.00,0.00,2.91,40.82,47.57,8.32,7.65,5.70,28.72,28.72,49.36,1089.73,4851.80,5283.30,2060.80,1864.30,30.18,940.27,116.57,16.60,29.79,21.66
Britannia Inds.,500825,BRITANNIA,INE216A01030,Food Products,Packaged Foods,5379.00,51.14,129563.06,1.68,56.02,53.55,55.73,54.46,52.64,49.57,5.52,7.83,7.58,6.33,0.27,50.55,0.00,0.00,0.00,6.75,56.96,58.20,25.37,36.55,37.51,86.05,86.05,83.91,1770.62,6603.16,9248.84,2110.38,2408.15,44.79,105.18,30.17,-6.80,1.82,8.83
BSE,,BSE,INE118H01025,Capital Markets,Exchange and Data Platform,3816.60,62.55,155449.77,0.26,58.03,44.79,27.80,35.54,42.46,30.80,73.54,50.29,124.14,68.42,0.00,0.00,0.00,0.00,0.00,0.50,59.35,69.79,23.30,17.32,9.76,16.34,16.34,21.97,253.47,5363.49,6492.94,261.79,2589.11,53.89,61.31,,44.83,156.27,103.87
Canara Bank,532483,CANBK,INE476A01022,Banks,Public Sector Bank,127.19,6.43,115369.61,3.30,6.52,16.08,15.56,17.17,6.64,5.95,13.74,12.46,17.89,44.35,14.64,62.93,0.00,0.00,0.00,0.36,6.03,5.99,0.98,0.98,0.82,21.32,21.32,20.37,2742.96,82275.98,41782.63,61830.45,6652.18,7.92,19.70,1.28,11.21,25.45,32.49
CG Power & Ind,500093,CGPOWER,INE067A01029,Electrical Equipment,Heavy Electrical Equipment,892.55,116.21,140574.77,0.15,26.71,20.48,37.93,30.21,36.94,42.88,21.21,33.18,9.69,69.51,0.01,56.36,-1.76,0.00,0.00,11.99,79.68,101.23,17.64,31.49,32.89,16.97,16.97,17.09,166.23,1223.30,2501.69,490.68,-72.38,37.55,7.66,67.44,31.92,32.45,61.58
Cholaman.Inv.&Fn,511243,CHOLAFIN,INE121A01024,Finance,Non Banking Financial Company (NBFC),1789.80,29.16,152595.96,0.11,9.70,19.33,19.84,19.67,10.15,9.90,34.10,26.52,25.21,28.03,6.93,49.25,-2.22,-0.47,0.00,1.16,30.00,30.59,5.01,5.79,5.50,3.26,3.26,4.04,167.11,-99616.03,-132573.99,-32599.82,-30262.55,22.34,61.41,1.49,17.23,14.69,28.09
Cipla,500087,CIPLA,INE059A01026,Pharmaceuticals & Biotechnology,Pharmaceuticals,1458.20,30.95,117800.00,0.89,15.49,11.60,14.46,15.16,20.34,19.26,7.37,8.01,10.23,9.94,0.02,29.21,-4.34,0.00,0.00,3.03,28.07,26.63,3.42,4.14,4.07,27.07,27.07,25.68,896.27,7237.28,11984.35,3490.18,928.32,35.08,48.02,95.19,-3.64,12.99,8.39
Coal India,533278,COALINDIA,INE522F01014,Consumable Fuels,Coal,438.70,8.69,270358.89,6.04,35.34,28.50,42.06,38.20,48.99,55.63,6.80,13.34,-0.69,19.61,0.12,63.13,-3.00,0.00,0.00,-12.59,7.03,7.30,2.27,2.78,2.76,53.02,53.02,47.07,14790.55,48504.08,98137.41,15960.25,31190.65,74.25,50.46,35.47,13.62,23.77,23.96
Cochin Shipyard,540678,COCHINSHIP,INE704P01025,Industrial Manufacturing,Ship Building & Allied Services,1524.10,55.94,40096.14,0.64,15.95,12.52,12.94,14.79,19.15,16.55,28.54,12.24,40.27,3.63,0.28,67.91,-4.95,0.00,0.00,1.39,42.73,52.40,6.83,7.29,3.79,5.51,5.51,23.09,199.28,-2981.72,-293.96,-791.60,-1384.90,47.83,27.24,11.81,-25.92,75.70,50.35
Coforge,532541,COFORGE,INE591G01025,IT - Software,Computers - Software & Consulting,1464.00,38.33,62951.99,1.04,23.50,20.64,21.33,20.00,24.35,27.07,26.96,28.60,30.99,28.45,0.08,0.00,-30.16,0.00,0.00,1.24,46.93,51.91,5.15,9.83,9.59,8.64,8.64,43.13,364.05,2520.10,3935.00,679.90,1196.60,21.52,46.33,13.80,-24.95,15.71,11.65
Colgate-Palmoliv,500830,COLPAL,INE259A01022,Personal Products,Personal Care,2047.00,41.43,55675.46,2.49,108.00,82.73,74.74,79.36,103.38,96.26,4.91,4.51,8.39,5.34,0.03,51.00,0.00,0.00,0.00,4.94,44.08,48.16,35.15,38.26,36.20,98.51,98.51,104.75,1283.84,4176.47,6859.42,1323.07,1729.97,41.88,48.73,478.29,-16.34,4.50,3.96
Container Corpn.,531344,CONCOR,INE111A01025,Transport Services,Logistics Solution Provider,488.20,29.94,37182.19,1.88,12.41,9.81,10.45,10.49,13.40,13.36,3.58,7.15,1.99,17.49,0.07,54.80,0.00,0.00,0.00,15.05,38.09,35.81,2.87,3.84,3.84,26.99,26.99,45.65,591.02,1814.56,3415.43,868.39,343.62,23.02,16.30,21.86,-18.59,-3.21,-2.54
Coromandel Inter,506395,COROMANDEL,INE169A01031,Fertilizers & Agrochemicals,Fertilizers,2034.30,29.91,60015.19,0.54,22.75,16.97,20.44,17.49,23.98,28.98,2.04,17.29,0.02,8.53,0.12,56.35,-1.06,-0.51,0.01,1495.50,18.48,30.57,4.78,5.10,4.66,16.59,16.59,16.24,329.61,2961.93,4785.20,2030.16,21.53,15.54,66.31,8.85,-8.93,28.40,17.55
Cummins India,500480,CUMMINSIND,INE298A01020,Industrial Products,"Compressors, Pumps & Diesel Engines",5478.00,62.64,151850.16,1.20,39.50,30.23,25.78,28.84,36.83,31.63,16.04,22.73,26.30,30.82,0.00,51.00,0.00,0.00,0.00,2.38,41.26,49.90,17.92,13.97,9.91,77.46,77.46,70.02,1103.26,3945.03,5392.59,1454.93,1486.89,45.03,85.20,256.24,63.91,42.97,44.13
Dabur India,500096,DABUR,INE016A01026,Personal Products,Personal Care,444.35,41.34,78825.57,1.86,20.44,17.16,18.94,17.85,20.99,22.55,4.59,6.65,4.01,2.41,0.11,66.25,0.01,0.02,0.00,10.31,53.52,51.69,6.90,8.93,10.76,77.22,77.22,70.11,1139.28,5079.94,7515.79,1447.64,2179.71,41.88,10.68,17.75,-10.25,-9.14,-5.44
Divi's Lab.,532488,DIVISLAB,INE361B01024,Pharmaceuticals & Biotechnology,Pharmaceuticals,6757.00,68.39,179377.12,0.44,21.96,16.53,16.96,14.82,19.63,22.66,10.78,8.67,12.87,5.71,0.00,51.88,-0.06,0.00,0.00,5.31,66.81,72.61,10.70,10.54,10.49,30.96,30.96,38.98,795.54,694.00,3879.32,215.00,221.00,35.08,96.73,151.52,-2.16,21.71,8.18
Dixon Technolog.,540699,DIXON,INE935N01020,Consumer Durables,Consumer Electronics,12456.00,52.89,76088.62,0.06,41.97,37.43,31.23,33.57,37.03,31.56,58.85,49.94,77.49,55.20,0.21,28.68,-5.38,-0.15,0.00,0.68,117.61,118.09,16.19,34.83,29.14,4.23,4.23,5.59,33.73,994.32,1125.20,254.16,724.42,42.63,236.61,16.06,-18.06,43.60,22.00
DLF,532868,DLF,INE271C01023,Realty,"Residential, Commercial Projects",675.90,39.52,167306.32,0.89,6.34,9.62,7.77,9.37,6.20,5.61,12.89,8.64,27.82,29.49,0.01,74.08,-0.87,0.00,0.00,1.42,52.94,53.26,3.68,4.42,3.42,44.86,44.86,41.41,1287.16,14537.53,19542.70,5139.92,6231.24,28.75,17.83,14.71,-19.15,10.59,18.14
Dr Reddy's Labs,500124,DRREDDY,INE089A01031,Pharmaceuticals & Biotechnology,Pharmaceuticals,1374.10,28.62,114692.80,0.58,13.04,11.22,16.49,16.31,20.75,20.61,10.96,12.09,-4.48,15.44,0.20,26.63,-0.07,-0.01,0.00,-6.39,19.96,19.09,3.03,3.54,3.68,15.92,15.92,13.23,633.60,5239.90,10486.50,1327.40,2004.20,35.08,50.27,14.75,5.10,9.88,4.41
Eicher Motors,505200,EICHERMOT,INE066A01021,Automobiles,2/3 Wheelers,7339.50,36.25,201467.46,0.95,30.52,23.96,22.17,24.08,30.49,27.42,17.46,21.83,24.02,32.76,0.02,49.06,-0.14,0.00,0.00,1.51,34.70,32.11,8.02,7.69,7.16,40.78,40.78,38.74,1430.23,9399.09,12436.38,2951.45,3538.29,36.25,201.06,101.06,30.39,30.40,22.13
Eternal,543320,ETERNAL,INE758T01015,Retailing,E-Retail/ E-Commerce,281.65,742.63,271802.13,0.00,2.97,1.19,-1.51,1.35,2.26,-2.34,97.29,93.70,32.84,21.65,0.15,0.00,0.00,0.00,0.00,22.61,486.56,486.56,8.77,8.96,7.31,0.00,0.00,0.00,0.00,-1293.00,-2988.20,-623.00,-1114.00,51.22,0.38,2.57,7.75,56.10,
Exide Inds.,500086,EXIDEIND,INE302A01020,Auto Components,Auto Components & Equipments,416.60,42.64,35411.00,0.48,8.54,5.97,12.83,6.22,9.11,9.63,6.07,11.68,1.64,0.50,0.11,45.99,0.00,0.00,0.00,26.00,29.68,39.02,2.55,2.30,2.04,19.90,19.90,20.23,170.00,303.01,-516.80,-652.49,1293.44,30.18,10.05,10.38,8.65,19.12,17.58
Federal Bank,500469,FEDERALBNK,INE171A01029,Banks,Private Sector Bank,327.40,18.60,80803.60,0.37,6.39,11.65,13.04,12.93,6.79,6.26,18.55,15.70,11.15,21.18,8.66,0.00,0.00,0.00,0.00,1.67,10.87,11.65,2.01,1.54,1.39,6.81,6.81,7.14,294.55,18227.69,10174.21,8050.13,4063.23,16.01,17.63,1.33,52.05,34.92,30.28
Fortis Health.,532843,FORTIS,INE061F01013,Healthcare Services,Hospital,974.60,69.50,73578.22,0.10,13.47,11.26,8.90,9.88,11.92,11.10,13.17,17.76,26.63,64.38,0.35,31.17,0.00,0.00,0.00,2.61,61.86,64.73,7.44,6.09,3.97,7.25,7.25,9.87,60.40,1436.76,2553.71,591.48,673.19,49.54,13.80,5.41,20.76,45.60,31.59
FSN E-Commerce,543384,NYKAA,INE388Y01029,Retailing,E-Retail/ E-Commerce,310.30,424.43,88864.46,0.00,17.20,15.29,5.89,7.75,11.22,9.21,24.90,32.64,121.53,27.74,0.86,52.09,-0.19,-0.01,0.00,3.49,1108.17,1130.70,61.79,39.69,39.16,0.00,0.00,0.00,0.00,721.46,-74.87,339.41,492.53,51.22,0.70,3.97,56.54,29.36,
GAIL (India),532155,GAIL,INE129A01019,Gas,Gas Transmission/Marketing,174.15,15.10,114505.36,4.31,9.68,8.71,12.70,11.76,12.80,14.28,-0.94,19.80,10.45,4.33,0.28,51.88,-0.03,0.00,0.00,1.44,11.66,12.77,1.29,1.39,1.25,47.69,47.69,41.28,3978.38,10367.48,7300.47,7818.20,2451.00,15.10,11.53,11.09,-9.96,17.48,11.42
GE Vernova T&D,522275,GVT&D,INE200A01026,Electrical Equipment,Heavy Electrical Equipment,4401.50,88.10,112700.41,0.23,76.43,57.32,27.14,42.25,51.44,30.61,30.80,12.45,489.65,85.76,0.01,51.00,-24.00,0.00,0.00,0.18,103.03,115.92,41.89,34.61,12.79,20.76,20.76,23.36,87.06,2826.87,2756.45,816.21,1521.46,37.55,48.17,117.16,86.79,170.17,98.46
Glenmark Pharma.,532296,GLENMARK,INE935A01035,Pharmaceuticals & Biotechnology,Pharmaceuticals,2211.00,21.14,62394.60,0.11,39.77,30.49,3.26,-0.77,23.84,19.39,13.60,9.19,75.79,25.68,0.06,46.65,0.00,0.00,0.00,0.28,20.43,31.58,5.94,5.09,2.69,5.18,5.18,2.41,70.55,-646.84,-251.87,-1574.75,2089.65,35.08,48.26,21.37,20.79,49.33,27.27
GMR Airports,532754,GMRAIRPORT,INE776C01039,Transport Infrastructure,Airport & Airport services,112.80,572.68,119105.25,0.00,11.65,,,,8.32,6.98,30.43,32.94,42.73,15.76,,66.33,7.33,0.09,15.49,13.40,535.08,535.08,,,,0.00,0.00,0.00,0.00,360.01,-1130.42,-580.76,1582.20,302.36,0.17,1.18,25.46,37.07,30.16
Godfrey Phillips,500163,GODFRYPHLP,INE260B01028,Cigarettes & Tobacco Products,Cigarettes & Tobacco Products,2170.10,22.19,33849.60,1.46,32.84,26.62,20.51,22.36,27.46,24.10,21.51,20.41,37.38,37.92,0.04,72.58,0.00,0.00,0.21,0.59,17.75,25.27,5.45,5.81,3.32,51.11,51.11,43.39,387.92,354.24,1495.19,-52.71,214.87,14.40,97.84,166.24,-25.16,55.29,45.96
Godrej Consumer,532424,GODREJCP,INE102D01028,Personal Products,Personal Care,1076.90,54.31,110193.21,1.86,19.08,16.46,14.43,13.99,19.10,18.51,4.46,6.60,5.51,3.06,0.35,53.05,-10.17,0.00,0.00,9.86,59.92,64.60,8.71,9.51,8.97,109.93,109.93,-8.56,1227.62,5757.32,9368.98,2017.58,1946.35,41.88,18.19,9.51,-9.72,-0.61,3.09
